,text,phonetics,pronounciation_guide_hr,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
89,The singing voice approached rapidly.,DH_AH0 S_IH1|NG_IH0_NG V_OY1_S AH0|P_R_OW1_CH_T R_AE1|P_AH0|D_L_IY0,thuh si|nging voys uh|prowcht ra|puh|dlee,The sing|ing voice a|pproached rap|id|ly,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'SonoriPy', 'dataset']","[['DH_AH0', 'DH_AH1', 'DH_IY0'], ['S_IH1|NG_IH0_NG'], ['V_OY1_S'], ['AH0|P_R_OW1_CH_T'], ['R_AE1|P_AH0|D_L_IY0']]","[3, 1, 1, 1, 1]"
90,His blood grew hot with rage at the thought.,HH_IH1_Z B_L_AH1_D G_R_UW1 HH_AA1_T W_IH1_DH R_EY1_JH AE1_T DH_AH0 TH_AO1_T,hiz bluhd groo hot with reydj at thuh thawt,His blood grew hot with rage at the thought,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IH1_Z', 'HH_IH0_Z'], ['B_L_AH1_D'], ['G_R_UW1'], ['HH_AA1_T'], ['W_IH1_DH', 'W_IH1_TH', 'W_IH0_TH', 'W_IH0_DH'], ['R_EY1_JH'], ['AE1_T'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['TH_AO1_T']]","[2, 1, 1, 1, 4, 1, 1, 3, 1]"
91,"He went down in midstream, searching the shadows of both shores.",HH_IY1 W_EH1_N_T D_AW1_N IH0_N M_IH1_D_S|T_R_IY2_M S_ER1|CH_IH0_NG DH_AH0 SH_AE1|D_OW2_Z AH1_V B_OW1_TH SH_AO1_R_Z,hee went daun in mids|treem suhr|ching thuh sha|dowz uhv bowth shawrz,He went down in mid|stream search|ing the sha|dows of both shores,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IY1'], ['W_EH1_N_T'], ['D_AW1_N'], ['IH0_N', 'IH1_N'], ['M_IH1_D_S|T_R_IY2_M'], ['S_ER1|CH_IH0_NG'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['SH_AE1|D_OW2_Z'], ['AH1_V'], ['B_OW1_TH'], ['SH_AO1_R_Z']]","[1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1]"
92,For a full minute he crouched and listened.,F_AO1_R AH0 F_UH1_L M_IH1|N_AH0_T HH_IY1 K_R_AW1_CH_T AH0_N_D L_IH1|S_AH0_N_D,fawr uh ful mi|nuht hee kraucht uhnd li|suhnd,For a full min|ute he crouched and li|stened,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['AH0', 'EY1'], ['F_UH1_L'], ['M_IH1|N_AH0_T', 'M_AY0|N_UW1_T', 'M_AY0_N|Y_UW1_T'], ['HH_IY1'], ['K_R_AW1_CH_T'], ['AH0_N_D', 'AE1_N_D'], ['L_IH1|S_AH0_N_D']]","[3, 2, 1, 3, 1, 1, 2, 1]"
93,He had barely entered this when he saw the glow of a fire.,HH_IY1 HH_AE1_D B_EH1_R|L_IY0 EH1_N|T_ER0_D DH_IH1_S W_EH1_N HH_IY1 S_AO1 DH_AH0 G_L_OW1 AH1_V AH0 F_AY1|ER0,hee had ber|lee en|tuhrd this wen hee saw thuh glow uhv uh fay|uhr,He had bare|ly en|tered this when he saw the glow of a fi|re,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['HH_IY1'], ['HH_AE1_D'], ['B_EH1_R|L_IY0'], ['EH1_N|T_ER0_D', 'EH1|N_ER0_D'], ['DH_IH1_S', 'DH_IH0_S'], ['W_EH1_N', 'HH_W_EH1_N', 'W_IH1_N', 'HH_W_IH1_N'], ['HH_IY1'], ['S_AO1'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['G_L_OW1'], ['AH1_V'], ['AH0', 'EY1'], ['F_AY1|ER0', 'F_AY1_R']]","[1, 1, 1, 2, 2, 4, 1, 1, 3, 1, 1, 2, 2]"
94,A big canvas tent was the first thing to come within his vision.,EY1 B_IH1_G K_AE1_N|V_AH0_S T_EH1_N_T W_AA1_Z DH_AH0 F_ER1_S_T TH_IH1_NG T_UW1 K_AH1_M W_IH0|DH_IH1_N HH_IH1_Z V_IH1|ZH_AH0_N,ey big kan|vuhs tent woz thuh fuhrst thing too kuhm wi|thin hiz vi|juhn,A big can|vas tent was the first thing to come with|in his vi|sion,[],[],"['acronym', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['EY1'], ['B_IH1_G'], ['K_AE1_N|V_AH0_S'], ['T_EH1_N_T'], ['W_AA1_Z', 'W_AH0_Z'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['F_ER1_S_T'], ['TH_IH1_NG'], ['T_UW1', 'T_IH0', 'T_AH0'], ['K_AH1_M'], ['W_IH0|DH_IH1_N', 'W_IH0|TH_IH1_N'], ['HH_IH1_Z', 'HH_IH0_Z'], ['V_IH1|ZH_AH0_N']]","[1, 1, 1, 1, 2, 3, 1, 1, 3, 1, 2, 2, 1]"
95,Perhaps she had already met her fate a little deeper in the forest.,P_ER0|HH_AE1_P_S SH_IY1 HH_AE1_D AO0_L|R_EH1|D_IY0 M_EH1_T HH_ER1 F_EY1_T AH0 L_IH1|T_AH0_L D_IY1|P_ER0 IH0_N DH_AH0 F_AO1|R_AH0_S_T,puhr|haps shee had awl|re|dee met huhr feyt uh li|tuhl dee|puhr in thuh faw|ruhst,Per|haps she had al|read|y met her fate a lit|tle dee|per in the for|est,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['P_ER0|HH_AE1_P_S'], ['SH_IY1'], ['HH_AE1_D'], ['AO0_L|R_EH1|D_IY0', 'AO0|R_EH1|D_IY0'], ['M_EH1_T'], ['HH_ER1', 'HH_ER0'], ['F_EY1_T'], ['AH0', 'EY1'], ['L_IH1|T_AH0_L'], ['D_IY1|P_ER0'], ['IH0_N', 'IH1_N'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['F_AO1|R_AH0_S_T', 'F_AO1|R_IH0_S_T']]","[1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 3, 2]"
96,Then you can arrange yourself comfortably among these robes in the bow.,DH_EH1_N Y_UW1 K_AE1_N ER0|EY1_N_JH Y_ER0|S_EH1_L_F K_AH1_M|F_ER0|T_AH0|B_L_IY0 AH0|M_AH1_NG DH_IY1_Z R_OW1_B_Z IH0_N DH_AH0 B_AW1,then yoo kan uhr|eyndj yuhr|self kuhm|fuhr|tuh|blee uh|muhng theez rowbz in thuh bau,Then you can ar|range your|self com|fort|a|bly a|mong these robes in the bow,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['DH_EH1_N'], ['Y_UW1'], ['K_AE1_N', 'K_AH0_N'], ['ER0|EY1_N_JH'], ['Y_ER0|S_EH1_L_F', 'Y_UH0_R|S_EH1_L_F', 'Y_AO1_R|S_EH0_L_F'], ['K_AH1_M|F_ER0|T_AH0|B_L_IY0'], ['AH0|M_AH1_NG'], ['DH_IY1_Z'], ['R_OW1_B_Z'], ['IH0_N', 'IH1_N'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['B_AW1', 'B_OW1']]","[1, 1, 2, 1, 3, 1, 1, 1, 1, 2, 3, 2]"
97,Shall I carry you.,SH_AE1_L AY1 K_AE1|R_IY0 Y_UW1,shal ay ka|ree yoo,Shall I car|ry you,[],[],"['1 vowel = 1 syl', 'acronym', 'dataset', '1 vowel = 1 syl']","[['SH_AE1_L'], ['AY1'], ['K_AE1|R_IY0', 'K_EH1|R_IY0'], ['Y_UW1']]","[1, 1, 2, 1]"
98,A maddening joy pounded in his brain.,EY1 M_AE1|D_AH0|N_IH0_NG JH_OY1 P_AW1_N|D_IH0_D IH0_N HH_IH1_Z B_R_EY1_N,ey ma|duh|ning djoy paun|did in hiz breyn,A mad|den|ing joy poun|ded in his brain,[],[],"['acronym', 'dataset', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['EY1'], ['M_AE1|D_AH0|N_IH0_NG', 'M_AE1|D_N_IH0_NG'], ['JH_OY1'], ['P_AW1_N|D_IH0_D'], ['IH0_N', 'IH1_N'], ['HH_IH1_Z', 'HH_IH0_Z'], ['B_R_EY1_N']]","[1, 2, 1, 1, 2, 2, 1]"
99,"You must sleep, he urged.",Y_UW1 M_AH1_S_T S_L_IY1_P HH_IY1 ER1_JH_D,yoo muhst sleep hee uhrdjd,You must sleep he urged,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['Y_UW1'], ['M_AH1_S_T'], ['S_L_IY1_P'], ['HH_IY1'], ['ER1_JH_D']]","[1, 1, 1, 1, 1]"
100,"You, you would not keep the truth from me.",Y_UW1 Y_UW1 W_UH1_D N_AA1_T K_IY1_P DH_AH0 T_R_UW1_TH F_R_AH1_M M_IY1,yoo yoo wud not keep thuh trooth fruhm mee,You you would not keep the truth from me,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['Y_UW1'], ['Y_UW1'], ['W_UH1_D'], ['N_AA1_T'], ['K_IY1_P'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['T_R_UW1_TH'], ['F_R_AH1_M'], ['M_IY1']]","[1, 1, 1, 1, 1, 3, 1, 1, 1]"
101,He will follow us soon.,HH_IY1 W_IH1_L F_AA1|L_OW0 AH1_S S_UW1_N,hee wil fo|low uhs soon,He will fol|low us soon,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IY1'], ['W_IH1_L', 'W_AH0_L'], ['F_AA1|L_OW0'], ['AH1_S', 'Y_UW2|EH1_S'], ['S_UW1_N']]","[1, 2, 1, 2, 1]"
102,But there came no promise from the bow of the canoe.,B_AH1_T DH_EH1_R K_EY1_M N_OW1 P_R_AA1|M_AH0_S F_R_AH1_M DH_AH0 B_AW1 AH1_V DH_AH0 K_AH0|N_UW1,buht ther keym now pro|muhs fruhm thuh bau uhv thuh kuh|noo,But there came no prom|ise from the bow of the ca|noe,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['B_AH1_T'], ['DH_EH1_R'], ['K_EY1_M'], ['N_OW1'], ['P_R_AA1|M_AH0_S'], ['F_R_AH1_M'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['B_AW1', 'B_OW1'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['K_AH0|N_UW1']]","[1, 1, 1, 1, 1, 1, 3, 2, 1, 3, 1]"
103,She was sleeping under his protection as sweetly as a child.,SH_IY1 W_AA1_Z S_L_IY1|P_IH0_NG AH1_N|D_ER0 HH_IH1_Z P_R_AH0|T_EH1|K_SH_AH0_N AE1_Z S_W_IY1|T_L_IY0 AE1_Z AH0 CH_AY1_L_D,shee woz slee|ping uhn|duhr hiz pruh|te|kshuhn az swee|tlee az uh chayld,She was sleep|ing un|der his pro|tec|tion as sweet|ly as a child,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['SH_IY1'], ['W_AA1_Z', 'W_AH0_Z'], ['S_L_IY1|P_IH0_NG'], ['AH1_N|D_ER0'], ['HH_IH1_Z', 'HH_IH0_Z'], ['P_R_AH0|T_EH1|K_SH_AH0_N'], ['AE1_Z', 'EH1_Z'], ['S_W_IY1|T_L_IY0'], ['AE1_Z', 'EH1_Z'], ['AH0', 'EY1'], ['CH_AY1_L_D']]","[1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1]"
104,"Only, it is so wonderful, so almost impossible to believe.",OW1_N|L_IY0 IH1_T IH1_Z S_OW1 W_AH1_N|D_ER0|F_AH0_L S_OW1 AO1_L|M_OW2_S_T IH2_M|P_AA1|S_AH0|B_AH0_L T_UW1 B_IH0|L_IY1_V,own|lee it iz sow wuhn|duhr|fuhl sow awl|mowst im|po|suh|buhl too bi|leev,On|ly it is so won|der|ful so al|most im|pos|si|ble to be|lieve,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', 'dataset']","[['OW1_N|L_IY0'], ['IH1_T', 'IH0_T'], ['IH1_Z', 'IH0_Z'], ['S_OW1'], ['W_AH1_N|D_ER0|F_AH0_L'], ['S_OW1'], ['AO1_L|M_OW2_S_T'], ['IH2_M|P_AA1|S_AH0|B_AH0_L'], ['T_UW1', 'T_IH0', 'T_AH0'], ['B_IH0|L_IY1_V']]","[1, 2, 2, 1, 1, 1, 1, 1, 3, 1]"
105,The emotion which she had suppressed burst forth now in a choking sob.,DH_AH0 IH0|M_OW1|SH_AH0_N W_IH1_CH SH_IY1 HH_AE1_D S_AH0|P_R_EH1_S_T B_ER1_S_T F_AO1_R_TH N_AW1 IH0_N AH0 CH_OW1|K_IH0_NG S_AA1_B,thuh i|mow|shuhn wich shee had suh|prest buhrst fawrth nau in uh chow|king sob,The e|mo|tion which she had su|ppressed burst forth now in a chok|ing sob,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['DH_AH0', 'DH_AH1', 'DH_IY0'], ['IH0|M_OW1|SH_AH0_N', 'IY1|M_OW2|SH_AH0_N'], ['W_IH1_CH', 'HH_W_IH1_CH'], ['SH_IY1'], ['HH_AE1_D'], ['S_AH0|P_R_EH1_S_T'], ['B_ER1_S_T'], ['F_AO1_R_TH'], ['N_AW1'], ['IH0_N', 'IH1_N'], ['AH0', 'EY1'], ['CH_OW1|K_IH0_NG'], ['S_AA1_B']]","[3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]"
106,If you only could know how I thank you.,IH1_F Y_UW1 OW1_N|L_IY0 K_UH1_D N_OW1 HH_AW1 AY1 TH_AE1_NG_K Y_UW1,if yoo own|lee kud now hau ay thangk yoo,If you on|ly could know how I thank you,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['IH1_F', 'IH0_F'], ['Y_UW1'], ['OW1_N|L_IY0'], ['K_UH1_D'], ['N_OW1'], ['HH_AW1'], ['AY1'], ['TH_AE1_NG_K'], ['Y_UW1']]","[2, 1, 1, 1, 1, 1, 1, 1, 1]"
107,He waded into the edge of the water and began scrubbing himself.,HH_IY1 W_EY1|D_IH0_D IH1_N|T_UW0 DH_AH0 EH1_JH AH1_V DH_AH0 W_AO1|T_ER0 AH0_N_D B_IH0|G_AE1_N S_K_R_AH1|B_IH0_NG HH_IH0_M|S_EH1_L_F,hee wey|did in|too thuh edj uhv thuh waw|tuhr uhnd bi|gan skruh|bing him|self,He wad|ed in|to the edge of the wa|ter and be|gan scrub|bing him|self,[],[],"['1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset', 'dataset']","[['HH_IY1'], ['W_EY1|D_IH0_D'], ['IH1_N|T_UW0', 'IH0_N|T_UW1', 'IH0_N|T_AH0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['EH1_JH'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['W_AO1|T_ER0'], ['AH0_N_D', 'AE1_N_D'], ['B_IH0|G_AE1_N', 'B_IY0|G_AE1_N'], ['S_K_R_AH1|B_IH0_NG'], ['HH_IH0_M|S_EH1_L_F']]","[1, 1, 3, 3, 1, 1, 3, 1, 2, 2, 1, 1]"
108,Do you know that you are shaking my confidence in you.,D_UW1 Y_UW1 N_OW1 DH_AE1_T Y_UW1 AA1_R SH_EY1|K_IH0_NG M_AY1 K_AA1_N|F_AH0|D_AH0_N_S IH0_N Y_UW1,doo yoo now that yoo or shey|king may kon|fuh|duhns in yoo,Do you know that you are shak|ing my con|fi|dence in you,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['D_UW1'], ['Y_UW1'], ['N_OW1'], ['DH_AE1_T', 'DH_AH0_T'], ['Y_UW1'], ['AA1_R', 'ER0'], ['SH_EY1|K_IH0_NG'], ['M_AY1'], ['K_AA1_N|F_AH0|D_AH0_N_S'], ['IH0_N', 'IH1_N'], ['Y_UW1']]","[1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1]"
109,"Much, replied Jeanne, as tersely.",M_AH1_CH R_IH0|P_L_AY1_D JH_IY1_N AE1_Z T_ER1|S_L_IY0,muhch ri|playd djeen az tuhr|slee,Much re|plied Jeanne as te|rsely,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy']","[['M_AH1_CH'], ['R_IH0|P_L_AY1_D', 'R_IY0|P_L_AY1_D'], ['JH_IY1_N'], ['AE1_Z', 'EH1_Z'], ['T_ER1|S_L_IY0']]","[1, 2, 1, 2, 1]"
110,"Instead, he joined her; and they ate like two hungry children.",IH2_N_S|T_EH1_D HH_IY1 JH_OY1_N_D HH_ER1 AH0_N_D DH_EY1 EY1_T L_AY1_K T_UW1 HH_AH1_NG|G_R_IY0 CH_IH1_L|D_R_AH0_N,ins|ted hee djoynd huhr uhnd they eyt layk too huhng|gree chil|druhn,In|stead he joined her and they ate like two hun|gry chil|dren,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['IH2_N_S|T_EH1_D'], ['HH_IY1'], ['JH_OY1_N_D'], ['HH_ER1', 'HH_ER0'], ['AH0_N_D', 'AE1_N_D'], ['DH_EY1'], ['EY1_T'], ['L_AY1_K'], ['T_UW1'], ['HH_AH1_NG|G_R_IY0'], ['CH_IH1_L|D_R_AH0_N']]","[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]"
111,He was wounded in the arm.,HH_IY1 W_AA1_Z W_UW1_N|D_IH0_D IH0_N DH_AH0 AA1_R_M,hee woz woon|did in thuh orm,He was wound|ed in the arm,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IY1'], ['W_AA1_Z', 'W_AH0_Z'], ['W_UW1_N|D_IH0_D'], ['IH0_N', 'IH1_N'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['AA1_R_M']]","[1, 2, 1, 2, 3, 1]"
112,I suppose you picked that lingo up among the Indians.,AY1 S_AH0|P_OW1_Z Y_UW1 P_IH1_K_T DH_AE1_T L_IH1_NG|G_OW0 AH1_P AH0|M_AH1_NG DH_AH0 IH1_N|D_IY0|AH0_N_Z,ay suh|powz yoo pikt that ling|gow uhp uh|muhng thuh in|dee|uhnz,I sup|pose you picked that lin|go up a|mong the In|dians,[9],[],"['acronym', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'SonoriPy']","[['AY1'], ['S_AH0|P_OW1_Z'], ['Y_UW1'], ['P_IH1_K_T'], ['DH_AE1_T', 'DH_AH0_T'], ['L_IH1_NG|G_OW0'], ['AH1_P'], ['AH0|M_AH1_NG'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['IH1_N|D_IY0|AH0_N_Z']]","[1, 1, 1, 1, 2, 1, 1, 1, 3, 1]"
113,Her words sent a strange chill through Philip.,HH_ER1 W_ER1_D_Z S_EH1_N_T AH0 S_T_R_EY1_N_JH CH_IH1_L TH_R_UW1 F_IH1|L_AH0_P,huhr wuhrdz sent uh streyndj chil throo fi|luhp,Her words sent a strange chill through Phil|ip,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['HH_ER1', 'HH_ER0'], ['W_ER1_D_Z'], ['S_EH1_N_T'], ['AH0', 'EY1'], ['S_T_R_EY1_N_JH'], ['CH_IH1_L'], ['TH_R_UW1'], ['F_IH1|L_AH0_P', 'F_IH1|L_IH0_P']]","[2, 1, 1, 2, 1, 1, 1, 2]"
114,He had no excuse for the feelings which were aroused in him.,HH_IY1 HH_AE1_D N_OW1 IH0_K_S|K_Y_UW1_S F_AO1_R DH_AH0 F_IY1|L_IH0_NG_Z W_IH1_CH W_ER1 ER0|AW1_Z_D IH0_N HH_IH1_M,hee had now iks|kyoos fawr thuh fee|lingz wich wuhr uhr|auzd in him,He had no ex|cuse for the fee|lings which were a|roused in him,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['HH_IY1'], ['HH_AE1_D'], ['N_OW1'], ['IH0_K_S|K_Y_UW1_S', 'IH0_K_S|K_Y_UW1_Z'], ['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['F_IY1|L_IH0_NG_Z'], ['W_IH1_CH', 'HH_W_IH1_CH'], ['W_ER1'], ['ER0|AW1_Z_D'], ['IH0_N', 'IH1_N'], ['HH_IH1_M', 'IH0_M']]","[1, 1, 1, 2, 3, 3, 1, 2, 1, 1, 2, 2]"
115,Was it the rendezvous of those who were striving to work his ruin.,W_AA1_Z IH1_T DH_AH0 R_AA1_N|D_IH0|V_UW2 AH1_V DH_OW1_Z HH_UW1 W_ER1 S_T_R_AY1|V_IH0_NG T_UW1 W_ER1_K HH_IH1_Z R_UW1|AH0_N,woz it thuh ron|di|voo uhv thowz hoo wuhr stray|ving too wuhrk hiz roo|uhn,Was it the ren|dez|vous of those who were stri|ving to work his ru|in,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['W_AA1_Z', 'W_AH0_Z'], ['IH1_T', 'IH0_T'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['R_AA1_N|D_IH0|V_UW2'], ['AH1_V'], ['DH_OW1_Z'], ['HH_UW1'], ['W_ER1'], ['S_T_R_AY1|V_IH0_NG'], ['T_UW1', 'T_IH0', 'T_AH0'], ['W_ER1_K'], ['HH_IH1_Z', 'HH_IH0_Z'], ['R_UW1|AH0_N', 'R_UW1|IH0_N']]","[2, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2]"
116,"She added, with genuine sympathy in her face and voice.",SH_IY1 AE1|D_IH0_D W_IH1_DH JH_EH1_N|Y_AH0|W_AH0_N S_IH1_M|P_AH0|TH_IY0 IH0_N HH_ER1 F_EY1_S AH0_N_D V_OY1_S,shee a|did with djen|yuh|wuhn sim|puh|thee in huhr feys uhnd voys,She a|dded with gen|u|ine sym|pa|thy in her face and voice,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['SH_IY1'], ['AE1|D_IH0_D', 'AE1|D_IH0_D'], ['W_IH1_DH', 'W_IH1_TH', 'W_IH0_TH', 'W_IH0_DH'], ['JH_EH1_N|Y_AH0|W_AH0_N', 'JH_EH1_N|Y_UW1|W_AY2_N'], ['S_IH1_M|P_AH0|TH_IY0'], ['IH0_N', 'IH1_N'], ['HH_ER1', 'HH_ER0'], ['F_EY1_S'], ['AH0_N_D', 'AE1_N_D'], ['V_OY1_S']]","[1, 2, 4, 2, 1, 2, 2, 1, 2, 1]"
117,Pierre obeys me when we are together.,P_IY0|EH1_R OW0|B_EY1_Z M_IY1 W_EH1_N W_IY1 AA1_R T_AH0|G_EH1|DH_ER0,pee|er ow|beyz mee wen wee or tuh|ge|thuhr,Pierre o|beys me when we are to|geth|er,[0],[],"['dataset', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['P_IY0|EH1_R'], ['OW0|B_EY1_Z'], ['M_IY1'], ['W_EH1_N', 'HH_W_EH1_N', 'W_IH1_N', 'HH_W_IH1_N'], ['W_IY1'], ['AA1_R', 'ER0'], ['T_AH0|G_EH1|DH_ER0']]","[1, 1, 1, 4, 1, 2, 1]"
