,text,phonetics,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
160,Take away their foreman and they wouldn't be worth their grub.,tʰ_ej1_k ə0|w_ej1 d̪_ɛː0 f_ɒː1|m_n̩0 n̩0 d̪_ej0 w_ʊ1|d_ə0_n_t bʲ_iː1 w_ɜː1_θ d̪_ɛː0 ɡ_ɹ_ɐ1_b,Take a|way their fore|man and they would|n't be worth their grub,[],[],"['1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['tʰ_ej1_k'], ['ə0|w_ej1'], ['d̪_ɛː0', 'ð_ɛː0'], ['f_ɒː1|m_n̩0'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['d̪_ej0', 'ð_ej0'], ['w_ʊ1|d_ə0_n_t', 'w_ʊ_n_t'], ['bʲ_iː1'], ['w_ɜː1_θ'], ['d̪_ɛː0', 'ð_ɛː0'], ['ɡ_ɹ_ɐ1_b']]","[1, 1, 2, 1, 6, 2, 2, 1, 1, 2, 1]"
161,"That's the sub-foreman, explained Thorpe.",d̪_æ1_t_s d̪_iː0 s_ɐ1_b-f_ɒː1|m_n̩0 ɪ0_k_s|p_l_ej1_n_d θ_ɒː1_p,That's the sub-fore|man ex|plained Thorpe,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl-dataset', 'SonoriPy', '1 vowel = 1 syl']","[['d̪_æ1_t_s', 'd̪_æ1_ʔ_s', 'ð_æ1_t_s', 'ð_æ1_ʔ_s'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['s_ɐ1_b-f_ɒː1|m_n̩0'], ['ɪ0_k_s|p_l_ej1_n_d'], ['θ_ɒː1_p']]","[4, 12, 1, 1, 1]"
162,Philip made no effort to follow.,f_ɪ1|ʎ_ɪ0_p m_ej1_d n_əw1 ɛ1|f_ə0_t t_ə0 f_ɒ1|l_əw0,Phil|ip made no ef|fort to fol|low,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['f_ɪ1|ʎ_ɪ0_p'], ['m_ej1_d'], ['n_əw1'], ['ɛ1|f_ə0_t', 'ɛ1|f_ə0_ʔ'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['f_ɒ1|l_əw0']]","[1, 1, 1, 2, 3, 1]"
163,"He came first a year ago, and revealed himself to Jeanne.",i0 cʰ_ej1_m f_ɜː1_s_t ej1 j_ɪ1_ə ə0|ɡ_əw1 n̩0 ɹ_ə0|vʲ_iː1_ɫ_d ç_ɪ0_m|s_ɛ1_ɫ_f t_ə0 dʒ_i1_n,He came first a year a|go and re|vealed him|self to Jeanne,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'SonoriPy', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['i0', 'ç_i0', 'ç_iː0'], ['cʰ_ej1_m'], ['f_ɜː1_s_t'], ['ej1'], ['j_ɪ1_ə', 'j_ɪ1|ə0'], ['ə0|ɡ_əw1'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['ɹ_ə0|vʲ_iː1_ɫ_d'], ['ç_ɪ0_m|s_ɛ1_ɫ_f'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['dʒ_i1_n']]","[3, 1, 1, 1, 2, 1, 6, 1, 1, 3, 1]"
164,They are to attack your camp tomorrow night.,d̪_ej0 ɑː0 t_ə0 ə0|tʰ_æ1_k j_ɒː0 cʰ_æ1_m_p tʰ_ə0|m_ɐ1|ɹ_əw0 n_aj1_t,They are to at|tack your camp to|mor|row night,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['d̪_ej0', 'ð_ej0'], ['ɑː0', 'ə0', 'ɛː0'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['ə0|tʰ_æ1_k'], ['j_ɒː0', 'j_ə0', 'j_ʊ0|ə0'], ['cʰ_æ1_m_p'], ['tʰ_ə0|m_ɐ1|ɹ_əw0', 'tʰ_ə0|m_ɒ1|ɹ_əw0'], ['n_aj1_t', 'n_aj1_ʔ']]","[2, 3, 3, 1, 3, 1, 2, 2]"
165,Two days ago Jeanne learned where her father's men were hiding.,tʃ_ʉː1 d_ej1_z ə0|ɡ_əw1 dʒ_i1_n l_ɜː1_n_d w_ɛː1 h_ɜː0 f_ɑː1|d̪_ə0_z m_ɛ1_n w_ə0 h_aj1|d_ɪ0_ŋ,Two days a|go Jeanne learned where her fa|ther's men were hid|ing,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['tʃ_ʉː1', 'tʰ_ʉː1'], ['d_ej1_z'], ['ə0|ɡ_əw1'], ['dʒ_i1_n'], ['l_ɜː1_n_d', 'l_ɜː1|ɲ_ɪ0_d'], ['w_ɛː1'], ['h_ɜː0', 'ə0'], ['f_ɑː1|d̪_ə0_z', 'f_ɑː1|v_ə0_z', 'f_ɑː1|ð_ə0_z'], ['m_ɛ1_n'], ['w_ə0', 'w_ɛː0', 'w_ɜː0'], ['h_aj1|d_ɪ0_ŋ']]","[2, 1, 1, 1, 2, 1, 2, 3, 1, 3, 1]"
166,"I was near the cabin, and saw you.",aj1 w_ɐ0_z ɲ_ɪ1_ə d̪_iː0 cʰ_æ1|b_ɪ0_n n̩0 s_ɒː1 j_ʉ0,I was near the cab|in and saw you,[],[],"['acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['aj1'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ɲ_ɪ1_ə', 'ɲ_ɪ1|ə0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['cʰ_æ1|b_ɪ0_n'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['s_ɒː1'], ['j_ʉ0']]","[1, 3, 2, 12, 1, 6, 1, 1]"
167,Low bush whipped him in the face and left no sting.,l_aw1 b_ʊ1_ʃ w_ɪ1_p_t m̩0 ɪ1_n d̪_iː0 f_ej1_s n̩0 l_ɛ1_f_t n_əw1 s_t_ɪ1_ŋ,Low bush whipped him in the face and left no sting,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['l_aw1', 'l_əw1'], ['b_ʊ1_ʃ'], ['w_ɪ1_p_t'], ['m̩0', 'ç_ɪ0_m'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['f_ej1_s'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['l_ɛ1_f_t'], ['n_əw1'], ['s_t_ɪ1_ŋ']]","[2, 1, 1, 2, 2, 12, 1, 6, 1, 1, 1]"
168,Suddenly Jeanne stopped for an instant.,s_ɐ1|d_ə0_n|ʎ_i0 dʒ_i1_n s_t_ɒ1_p_t f_ɒː0 n̩0 ɪ1_n_s|t_ə0_n_t,Sud|den|ly Jeanne stopped for an in|stant,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['s_ɐ1|d_ə0_n|ʎ_i0'], ['dʒ_i1_n'], ['s_t_ɒ1_p_t'], ['f_ɒː0', 'f_ə0'], ['n̩0', 'æ0_n'], ['ɪ1_n_s|t_ə0_n_t']]","[1, 1, 1, 2, 2, 1]"
169,There was none of the joy of meeting in his face.,d̪_ɛː1 w_ɐ0_z n_ɐ1_n ɒ0_v d̪_iː0 dʒ_ɔj1 ɒ0_v mʲ_iː1|t_ɪ0_ŋ ɪ1_n ç_ɪ1_z f_ej1_s,There was none of the joy of meet|ing in his face,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_ej1|ə0', 'd̪_ɛː1', 'ð_ej1|ə0', 'ð_ɛː1'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['n_ɐ1_n', 'n_ɒ1_n', 'n_əw1_n'], ['ɒ0_v', 'ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['dʒ_ɔj1'], ['ɒ0_v', 'ə0', 'ə0_v'], ['mʲ_iː1|t_ɪ0_ŋ'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['ç_ɪ1_z'], ['f_ej1_s']]","[4, 3, 3, 3, 12, 1, 3, 1, 2, 1, 1]"
170,"And when you come back in a few days, bring Eileen.",n̩0 w_ɛ0_n j_ʉ0 kʰ_ɐ1_m b_æ1_k ɪ1_n ej1 fʲ_ʉː1 d_ej1_z b_ɹ_ɪ1_ŋ aj1|ʎ_iː0_n,And when you come back in a few days bring Ei|leen,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['w_ɛ0_n'], ['j_ʉ0'], ['kʰ_ɐ1_m'], ['b_æ1_k'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['ej1'], ['fʲ_ʉː1'], ['d_ej1_z'], ['b_ɹ_ɪ1_ŋ'], ['aj1|ʎ_iː0_n']]","[6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
171,Gregson had left the outer door slightly ajar.,ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n h_æ0_d l_ɛ1_f_t d̪_iː0 aw1|t_ə0 d_ɒː1 s_l_aj1|tʲ_ʎ_i0 ə0|dʒ_ɑː1,Gre|gson had left the out|er door slight|ly a|jar,[],[],"['SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', 'dataset']","[['ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n'], ['h_æ0_d'], ['l_ɛ1_f_t'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['aw1|t_ə0'], ['d_ɒː1'], ['s_l_aj1|tʲ_ʎ_i0'], ['ə0|dʒ_ɑː1']]","[1, 1, 1, 12, 1, 1, 1, 1]"
172,The date was nearly eighteen years old.,d̪_iː0 d_ej1_t w_ɐ0_z ɲ_ɪ1_ə|ʎ_i0 ej1|tʰ_iː0_n j_i1_ə_z əw1_ɫ_d,The date was near|ly eight|een years old,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['d_ej1_t', 'd_ej1_ʔ'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ɲ_ɪ1_ə|ʎ_i0', 'ɲ_ɪ1|ə0|ʎ_i0'], ['ej1|tʰ_iː0_n'], ['j_i1_ə_z', 'j_ɜː1_z', 'j_i1|ə0_z'], ['ɒ1|ʊ0_ɫ_d', 'əw1_ɫ_d']]","[12, 2, 3, 2, 1, 3, 2]"
173,They were the presage of storm.,d̪_ej0 w_ə0 d̪_iː0 p_ɹ_ɛ1|s_ɪ0_dʒ ɒ0_v s_t_ɒː1_m,They were the pres|age of storm,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_ej0', 'ð_ej0'], ['w_ə0', 'w_ɛː0', 'w_ɜː0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['p_ɹ_ɛ1|s_ɪ0_dʒ', 'p_ɹ_ɪ1|s_ej0_dʒ'], ['ɒ0_v', 'ə0', 'ə0_v'], ['s_t_ɒː1_m']]","[2, 3, 12, 2, 3, 1]"
174,Down there the earth was already swelling with life.,d_aw1_n d̪_ɛː1 d̪_iː0 ɜː1_f w_ɐ0_z ɒː0_ɫ|ɹ_ɛ1|dʲ_i0 s_w_ɛ1|ʎ_ɪ0_ŋ w_ɪ0_ð l_aj1_f,Down there the earth was al|read|y swell|ing with life,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d_aw1_n'], ['d̪_ej1|ə0', 'd̪_ɛː1', 'ð_ej1|ə0', 'ð_ɛː1'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɜː1_f', 'ɜː1_θ'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ɒː0_ɫ|ɹ_ɛ1|dʲ_i0'], ['s_w_ɛ1|ʎ_ɪ0_ŋ'], ['w_ɪ0|i0', 'w_ɪ0_ð', 'w_ɪ0_θ'], ['l_aj1_f']]","[1, 4, 12, 2, 3, 1, 1, 3, 1]"
175,For the first time in his life he was yearning for a scrap.,f_ɒː0 d̪_iː0 f_ɜː1_s_t tʰ_aj1_m ɪ1_n ç_ɪ1_z l_aj1_f i0 w_ɐ0_z j_ɜː1|ɲ_ɪ0_ŋ f_ɒː0 ej1 s_c_ɹ_æ1_p,For the first time in his life he was yearn|ing for a scrap,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['f_ɒː0', 'f_ə0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['f_ɜː1_s_t'], ['tʰ_aj1_m'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['ç_ɪ1_z'], ['l_aj1_f'], ['i0', 'ç_i0', 'ç_iː0'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['j_ɜː1|ɲ_ɪ0_ŋ'], ['f_ɒː0', 'f_ə0'], ['ej1'], ['s_c_ɹ_æ1_p']]","[2, 12, 1, 1, 2, 1, 1, 3, 3, 1, 2, 1, 1]"
176,She had been thoroughly and efficiently mauled.,ʃ_iː0 h_æ0_d b_ɪ0_n θ_ɐ1|ɹ_ə0|ʎ_iː0 n̩0 ɪ0|f_ɪ1|ʃ_ə0_n|tʲ_ʎ_i0 m_ɒː1_ɫ_d,She had been thor|ough|ly and ef|fi|cient|ly mauled,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['ʃ_iː0'], ['h_æ0_d'], ['b_ɪ0_n', 'bʲ_iː0_n'], ['θ_ɐ1|ɹ_ə0|ʎ_iː0'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['ɪ0|f_ɪ1|ʃ_ə0_n|tʲ_ʎ_i0'], ['m_ɒː1_ɫ_d']]","[1, 1, 2, 1, 6, 1, 1]"
177,Every bone in her aged body seemed broken or dislocated.,ɛ1|v_ɹ_i0 b_əw1_n ɪ1_n h_ɜː0 ej1_dʒ_d b_ɒ1|dʲ_i0 s_iː1_m_d b_ɹ_əw1|k_n̩0 ɒː0 d_ɪ0|s_l_əw0|cʰ_ej1|ʔ_ɪ0_d,Eve|ry bone in her aged bod|y seemed bro|ken or dis|lo|cat|ed,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['ɛ1|v_ə0|ɹ_i0', 'ɛ1|v_ɹ_i0'], ['b_əw1_n'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['h_ɜː0', 'ə0'], ['ej1_dʒ_d'], ['b_ɒ1|dʲ_i0'], ['s_iː1_m_d'], ['b_ɹ_əw1|k_n̩0'], ['ɒː0', 'ʔ_ɒː0'], ['d_ɪ0|s_l_əw0|cʰ_ej1|ʔ_ɪ0_d']]","[2, 1, 2, 2, 1, 1, 1, 1, 2, 1]"
178,"Tomorrow I'm going after that bear, he said.",tʰ_ə0|m_ɐ1|ɹ_əw0 aj0_m ɡ_əw1|ɪ0_ŋ æ1_f|t_ə0 d̪_æ1_t b_ɛː1 i0 s_aj1_d,To|mor|row I'm go|ing af|ter that bear he said,[],[],"['dataset', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['tʰ_ə0|m_ɐ1|ɹ_əw0', 'tʰ_ə0|m_ɒ1|ɹ_əw0'], ['aj0_m'], ['ɡ_əw1|ɪ0_ŋ'], ['æ1_f|t_ə0', 'ɑː1_f|t_ə0'], ['d̪_æ1_t', 'd̪_æ1_ʔ', 'ð_æ1_t', 'ð_æ1_ʔ'], ['b_ɛː1'], ['i0', 'ç_i0', 'ç_iː0'], ['s_aj1_d']]","[2, 1, 1, 2, 4, 1, 3, 1]"
179,"If not, let's say our prayers and go to bed.",ɪ0_f n_ɑ1_t l_ɛ1_t_s s_ej1 ɑː0 p_ɹ_ɛː1_z n̩0 ɡ_əw1 t_ə0 b_ɛ1_d,If not let's say our prayers and go to bed,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɪ0_f'], ['n_ɑ1_t', 'n_ɑ1_ʔ', 'n_ɒ1_t', 'n_ɒ1_ʔ'], ['l_ɛ1_t_s', 'l_ɛ1_ʔ_s'], ['s_ej1'], ['aw0|ə0', 'æ0|ɒː0', 'ɑː0'], ['p_ɹ_ɛː1_z', 'p_ɹ_ɛː1|ə0_z'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['ɡ_əw1'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['b_ɛ1_d']]","[1, 4, 2, 1, 3, 2, 6, 1, 3, 1]"
180,"So cheer up, and give us your paw.",s_əw1 tʃ_ɪ1_ə ɐ1_p n̩0 ɟ_ɪ1_v ə0_s j_ɒː0 pʰ_ɒː1,So cheer up and give us your paw,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['s_əw1'], ['tʃ_ɪ1_ə', 'tʃ_ɪ1|ə0'], ['ɐ1_p'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['ɟ_ɪ1_v'], ['j_ʉː0|ɛ0_s', 'ə0_s', 'ə0_z'], ['j_ɒː0', 'j_ə0', 'j_ʊ0|ə0'], ['pʰ_ɒː1']]","[1, 2, 1, 6, 1, 3, 3, 1]"
181,This time he did not yap for mercy.,d̪_ɪ1_s tʰ_aj1_m i0 d_ɪ1_d n_ɑ1_t j_æ1_p f_ɒː0 m_ɜː1|s_i0,This time he did not yap for mer|cy,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset']","[['d̪_ɪ1_s', 'ð_ɪ1_s'], ['tʰ_aj1_m'], ['i0', 'ç_i0', 'ç_iː0'], ['d_ɪ1_d'], ['n_ɑ1_t', 'n_ɑ1_ʔ', 'n_ɒ1_t', 'n_ɒ1_ʔ'], ['j_æ1_p'], ['f_ɒː0', 'f_ə0'], ['m_ɜː1|s_i0']]","[2, 1, 3, 1, 4, 1, 2, 1]"
182,And the air was growing chilly.,n̩0 d̪_iː0 ɛː1 w_ɐ0_z ɡ_ɹ_əw1|ɪ0_ŋ tʃ_ɪ1|ʎ_i0,And the air was grow|ing chil|ly,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['ɛː1'], ['w_ɐ0_z', 'w_ɒ0_z', 'w_ə0_z'], ['ɡ_ɹ_əw1|ɪ0_ŋ'], ['tʃ_ɪ1|ʎ_i0']]","[6, 12, 1, 3, 1, 1]"
183,"Don't you see, I'm chewing this thing in two.",d_əw1_n_t j_ʉ0 s_iː1 aj0_m tʃ_ʉː1|ɪ0_ŋ d̪_ɪ1_s f_ɪ1_n ɪ1_n tʃ_ʉː1,Don't you see I'm chew|ing this thing in two,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d_əw1_n_t'], ['j_ʉ0'], ['s_iː1'], ['aj0_m'], ['tʃ_ʉː1|ɪ0_ŋ'], ['d̪_ɪ1_s', 'ð_ɪ1_s'], ['f_ɪ1_n', 'f_ɪ1_ŋ', 't̪_ɪ1_ŋ', 'θ_ɪ1_n', 'θ_ɪ1_ŋ'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['tʃ_ʉː1', 'tʰ_ʉː1']]","[1, 1, 1, 1, 1, 2, 5, 2, 2]"
184,The questions may have come vaguely in his mind.,d̪_iː0 c_w_ɛ1_s|tʃ_n̩0_z m_ej1 h_æ1_v kʰ_ɐ1_m v_ej1|ɟ_ʎ_i0 ɪ1_n ç_ɪ1_z m_aj1_n_d,The ques|tions may have come vague|ly in his mind,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['c_w_ɛ1_s|tʃ_n̩0_z'], ['m_ej1'], ['h_æ1_v'], ['kʰ_ɐ1_m'], ['v_ej1|ɟ_ʎ_i0'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['ç_ɪ1_z'], ['m_aj1_n_d']]","[12, 1, 1, 1, 1, 1, 2, 1, 1]"
185,Like a flash he launched himself into the feathered mass of the owl.,l_aj1_k ej1 f_l_æ1_ʃ i0 l_ɒː1_n_tʃ_t ç_ɪ0_m|s_ɛ1_ɫ_f ɪ0_n|tʰ_ʉː0 d̪_iː0 f_ɛ1|ð_ə0_d m_æ1_s ɒ0_v d̪_iː0 aw1_ɫ,Like a flash he launched him|self in|to the feath|ered mass of the owl,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['l_aj1_k'], ['ej1'], ['f_l_æ1_ʃ'], ['i0', 'ç_i0', 'ç_iː0'], ['l_ɒː1_n_tʃ_t'], ['ç_ɪ0_m|s_ɛ1_ɫ_f'], ['ɪ0_n|tʰ_ʉː0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['f_ɛ1|ð_ə0_d'], ['m_æ1_s', 'm_ɑː1_s'], ['ɒ0_v', 'ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['aw1_ɫ']]","[1, 1, 1, 3, 1, 1, 1, 12, 1, 2, 3, 12, 1]"
